dataset,val_n,tag,n_problems,avg_at_n_pct,pass_at_n_pct,maj_at_n_pct
aime24,12,base_ref,30,51.66666666666667,80.0,63.33333333333333
aime24,12,base_s123,30,56.111111111111114,80.0,66.66666666666666
aime24,12,base_s42,30,58.88888888888889,76.66666666666667,73.33333333333333
aime24,12,eopd_s123,30,49.166666666666664,76.66666666666667,70.0
aime24,12,eopd_s42,30,50.55555555555556,76.66666666666667,66.66666666666666
aime24,12,msp_s123,30,59.166666666666664,80.0,70.0
aime24,12,msp_s42,30,56.388888888888886,76.66666666666667,70.0
aime24,12,opsdsingle_s123,30,56.111111111111114,76.66666666666667,70.0
aime24,12,opsdsingle_s42,30,54.166666666666664,76.66666666666667,63.33333333333333
aime24,12,rkl_s123,30,49.72222222222222,76.66666666666667,70.0
aime24,12,rkl_s42,30,46.111111111111114,76.66666666666667,60.0
aime24,12,tipfix_s123,30,54.44444444444444,76.66666666666667,66.66666666666666
aime24,12,tipfix_s42,30,52.22222222222223,76.66666666666667,70.0
math500,4,base_ref,500,87.85,93.4,91.60000000000001
math500,4,base_s123,500,87.3,92.60000000000001,91.8
math500,4,base_s42,500,88.25,93.4,92.2
math500,4,opsdsingle_s123,500,87.85,92.80000000000001,91.60000000000001
math500,4,opsdsingle_s42,500,87.64999999999999,94.0,92.2
math500,4,tip_s123,500,87.9,94.39999999999999,92.60000000000001
math500,4,tip_s42,500,88.44999999999999,93.8,92.2
